NUTS_ID,CompanyName,Subsector,Emissions_ETS_2014,Production,Fuel_Demand,Cluster
DEA26,Heinr. Aug. Schoeller Söhne GmbH & Co. KG Papierfabrik Schoellershammer,Paper and printing,138769.0,533855.79,815.61,DEA
DEA24,Lanxess Deutschland GmbH,Chemical industry,126736.0,,,DEA
DEA38,Holcim WestZement GmbH,Cement,614274.0,891581.09,866.81,DEA
DEA36,INEOS Group Ltd,Chemical industry,3668.0,,,DEA
DEA37,Dyckerhoff GmbH,Cement,1090865.0,1583323.75,1539.34,DEA
DEA37,Calcis Lienen GmbH & Co.KG,Cement,155334.0,,,DEA
DEA36,Pilkington Deutschland AG Werk Gladbeck,Glass,234154.0,412502.15,1251.25,DEA
DEA36,Evonik Oxeno GmbH,Chemical industry,,,,DEA
DEA36,Evonik Degussa GmbH,Chemical industry,476624.0,,,DEA
DEA47,HeidelbergCement AG,Cement,255022.0,370148.81,359.86,DEA
DEA46,,Iron and steel,26098.0,148721.1,,DEA
DEA57,Reno De Medici Arnsberg GmbH,Paper and printing,199117.0,766019.52,1170.3,DEA
DEA5B,HeidelbergCement AG HeidelbergCement AG,Cement,639608.0,927369.31,901.6,DEA
DEA5B,Dyckerhoff GmbH,Cement,223115.0,323837.76,314.84,DEA
DEA5B,Portland-Zementwerke Seibel & Söhne GmbH&Co.KG,Cement,304584.0,441617.13,429.34,DEA
DEA5B,Portland-Zementwerke Gebr. Seibel GmbH & Co. KG,Cement,362334.0,525905.61,511.29,DEA
DEA5B,Portlandzementwerk -Wittekind- Hugo Miebach Söhne KG,Cement,457526.0,664070.97,645.62,DEA
DEA57,Rheinkalk GmbH,Cement,93051.0,,,DEA
DEA53,Rheinkalk Hagen-Halden Betriebsführungs GmbH,Cement,,,,DEA
DEA5A,Deutsche Edelstahlwerke GmbH,Iron and steel,121642.0,474755.75,24.62,DEA
DEA55,Sasol Solvents Germany GmbH - Werk Herne -,Chemical industry,89432.0,,,DEA
DEA58,Rheinkalk GmbH,Cement,847195.0,,,DEA
DEA5B,Spenner Zement GmbH & Co. KG,Cement,729045.0,850762.28,827.13,DEA
DEA5C,Aurubis AG,Non-ferrous metals,169134.0,,,DEA
DEA51,ThyssenKrupp Steel Europe AG,Iron and steel,284439.0,664493.06,,DEA
DE724,Fritz Winter Eisengiesserei GmbH & Co. KG,Iron and steel,210633.0,1200305.51,,DEA
DE723,Schaefer Kalk GmbH & Co. KG,Cement,217832.0,,,DEA
DE722,Buderus Edelstahl GmbH,Iron and steel,133326.0,628679.74,14.77,DEA
DE714,Dyckerhoff GmbH,Cement,179633.0,260726.3,253.48,DEA
DE737,SCA Packaging Containerboard Deutschland GmbH,Paper and printing,11035.0,84905.11,129.71,DEA
DE732,Papierfabrik A. Jass GmbH & Co.KG,Paper and printing,185995.0,715538.1,1093.18,DEA
DE732,Zement- und Kalkwerke Otterbein GmbH & Co. KG,Cement,144790.0,210153.81,204.31,DEA
DEB17,Moritz J. Weig GmbH & Co. KG,Paper and printing,212152.0,,1246.92,DEA
DEB1A,Schaefer Kalk GmbH & Co. KG,Cement,319119.0,,,DEA
DEB24,Portlandzementwerk WOTAN H. Schneider KG,Cement,164864.0,239290.0,232.64,DEA
DEB39,Evonik Röhm GmbH,Chemical industry,84845.0,,,DEA
DEB3D,Werksgruppe Süd Dyckerhoff,Cement,639684.0,928462.15,902.67,DEA
DEB3E,Ardagh Group,Glass,105281.0,177138.03,284.4,DEA
DEB3E,Palm Papierfabrik GmbH & Co. KG,Paper and printing,14.0,,0.08,DEA
DE132,Gebrüder Knauf Verwaltungsgesellschaft KG,Cement,,,,DE2
