,lignite,coal,oil,biomass,CCGT,H2-Ready,OCGT,electrolysis,fuel cell,ror,offwind-ac,offwind-dc,onwind,solar
2020,131.85851561751235,53.661376031840405,0.05963732227916946,67.70451713273428,25.195766724217712,7.528371851937654,0.34527344518316627,9.233431865964903,0.9889348869830925,19.814771062899958,13.090929890235513,33.05205124258096,145.26200045229479,65.89935713735541
2021,106.15469046515254,37.68332287518704,0.042909375638296415,62.93653062790274,20.287404621360857,12.367413733890123,0.24909652972948934,14.072235538867131,0.9887966683008608,19.814758107074052,13.795568177082657,62.049206261052014,165.66547002007928,74.56832690885342
2022,92.47464559150546,39.53700438158509,0.0294568144861752,58.8401543538646,8.888132963288143,15.484551842107907,0.2989618103018907,17.433114904580847,1.1301665769131475,19.736039017304197,12.609513957394574,59.813959712968625,189.50229973305767,85.15482673500081
2023,79.06141511987757,36.249214077205785,0.02523518648309519,55.33899991494901,5.685735899246511,19.05191035925754,0.31367148057276617,21.439054568436585,1.3845436430976052,19.736025414851806,11.167267635912774,56.06846602280303,213.4033015181096,97.2470147043057
2024,67.48259738271152,31.669831958632216,0.025584230694676382,52.45341884423312,5.649057812454601,22.31590648193287,0.32519113371463493,25.11489249387731,1.623411889863053,19.062720598085257,9.974485081051279,52.336760213106835,233.7969713236297,110.05948227869729
2025,56.105992271470335,27.74994122598944,0.025398305036635396,49.51351472994337,5.17129320081819,24.853261858608363,0.33216796662623344,28.04515698874224,1.8512991797681395,19.062735049027175,9.038688973009407,48.06918025388883,253.1193933388913,122.67420428900554
2026,49.02507526536715,25.14276096600226,0.023902794353279185,47.27973202454515,5.765525943383839,27.81750583867984,0.3832470169706594,31.429218061432362,2.094793094457375,19.062714909011195,8.499194407520026,45.39994209060492,268.69383833638847,130.2692228589852
2027,43.559080531796845,23.908940009592705,0.023493791621621404,46.00340365599772,6.799491614349363,30.096585859635745,0.4582544968813035,34.56956790938735,2.594329591775137,19.06270823920652,8.168889278562773,43.66521399770662,280.58268737117464,136.0076369611737
2028,37.94027438100771,22.09741508536951,0.03480768312819462,44.73531128230265,8.086617359281282,31.807341941557493,0.5349677829597316,37.3815528995163,3.233042372626516,19.062633769776994,7.883811059165586,42.05231829825002,293.4886206323723,140.95832660400427
2029,32.3003783976418,19.941071733309094,0.038836802508090684,43.15395770248592,9.469681270929673,33.67304124479378,0.6127898885595677,40.32525576666778,3.85828442318857,19.062707949865974,7.529293144557959,40.59363703831569,306.5865665621136,146.27358074656615
2030,33.25459753675089,20.750561083495235,4.280407953279954e-06,42.08937490111114,20.229832640111777,28.85399114577679,2.1831762877274056e-05,28.93144384890517,0.04492257167359737,19.062485483663366,7.167540369046087,39.60617327967892,300.3857136073831,145.09276228639058
2031,30.887777403739243,23.04560753503256,3.4957065369953622e-06,42.13206996753859,30.090846677507553,25.91189344351673,1.7990874500492446e-05,26.004835648945043,0.05390648022081257,19.06256547817309,7.449172917659977,40.574737149232,298.2383656553079,144.07686897094467
2032,28.239812148886077,23.679615170609146,9.422087409132391e-07,42.49808117438459,42.91496350471233,24.88722855451608,5.638418254439753e-06,25.007606378479224,0.06981914000480012,19.06272247444761,7.673407556701428,41.73925463981079,297.53976952703647,142.56138627049668
2033,25.01374761095516,22.372655240391484,1.0462587480107792e-06,41.849340504097235,52.832351553773854,27.300336048576757,6.1335616706147216e-06,27.4542399378272,0.08926425708435014,19.062706821413464,7.919607637820208,42.349188622709846,296.42708871026366,149.87359721551178
2034,21.24263194776539,20.377589400680268,8.813171697091544e-07,39.04674379781735,65.87762574332805,30.484626228877428,6.468880745045092e-06,31.270450421174388,0.4557780317534946,19.062701761024027,8.122502277591687,43.04272704493422,295.79650670362054,159.1175431990983
2035,16.794717418091718,16.758435249766993,5.236235209344897e-07,34.85944840522579,85.08881220349744,32.4724712097566,6.376653016286235e-06,32.87120571683231,0.23126601477796516,19.062697001333767,8.282533332699344,43.56343757285939,293.2815506283193,168.62803419894385
2036,11.811230130291092,12.531482069812709,0.0005396641741639628,29.66927776624672,103.3274998810261,40.43668342577613,2.7307618124602136e-05,41.86680299742852,0.8294693576757938,19.062465910399155,8.404610978913098,43.938811542897426,305.3574381258891,169.83281968882363
2037,6.0429113901693885,6.47209996550899,0.0004471876196276269,25.303832961141776,99.56883111201664,54.92686183603607,9.384617032827868e-06,57.58820410029554,1.543578517525842,19.062667446457105,8.50448572573707,44.018860059631976,326.2361021909651,183.5737293510315
2038,0.0,0.0,6.976876306184165e-07,22.57017094987113,90.61279402637398,69.3262442051517,9.186482536810463e-06,73.34667877075321,2.3318520547085493,18.720054272304886,8.217405852409133,42.86097938373236,352.80317035285594,196.14109126612462
2039,0.0,0.0,0.0002209317210773235,19.080675548775435,92.29278432969514,69.38740398943209,7.947257932340161e-06,73.9868450832375,2.667675839159535,18.720048819384758,7.679256131812537,41.34664456212383,361.1067346076122,199.30529730966995
2040,0.0,0.0,0.0020460030960854432,14.36079138544162,95.17787939385794,67.51312161090098,8.335780126754595e-06,73.92514293734833,3.7189723744661416,18.72002386811412,5.905273954076175,39.345575789749304,370.8842099674495,202.98314450464358
2041,0.0,0.0,0.07762668346156128,9.557490220601279,60.604484977098345,80.96339853606904,10.802592442184885,84.10360314272454,1.8213186823257264,18.72000579777064,5.327334925512979,35.94721896187949,389.2748009661871,218.0986767323343
2042,0.0,0.0,0.0807681564477202,7.836322483769572,60.59603548509478,81.23014631895907,11.11651761129961,84.27613266345706,1.766672087135432,18.71998338142207,4.9673809241547335,35.615383419601955,393.4935411473594,223.31174904817135
