,PHS,hydro,battery
2020,7659.62,169.5,6000.016026246305
2021,7659.62,169.5,6687.377683043092
2022,7659.62,169.5,6687.394764453388
2023,7659.62,169.5,6687.432259670951
2024,7659.62,169.5,7127.344289927448
2025,7659.62,169.5,7721.539527475104
2026,7659.62,169.5,9118.019557076848
2027,7659.62,169.5,10501.754481268443
2028,7659.62,169.5,12094.311214677442
2029,7659.62,169.5,13455.560431451955
2030,7659.62,169.5,13455.601743252624
2031,7659.62,169.5,13455.6497344742
2032,7659.62,169.5,13455.66723283944
2033,7659.62,169.5,13455.687046382001
2034,7659.62,169.5,13455.70891563253
2035,7659.62,169.5,13455.717887403442
2036,7659.62,169.5,7455.881650247688
2037,7659.62,169.5,6768.591964518038
2038,7659.62,169.5,6768.666911596452
2039,7659.62,169.5,6768.748264822363
2040,7659.62,169.5,6919.573733649111
2041,7659.62,169.5,11341.493070946073
2042,7659.62,169.5,13157.80663148136
2043,7659.62,169.5,16273.078904407475
2044,7659.62,169.5,24564.331488810854
2045,7659.62,169.5,63203.08198091802
2046,7659.62,169.5,103203.04061569905
2047,7659.62,169.5,143202.991971335
2048,7659.62,169.5,143203.12648335073
2049,7659.62,169.5,143203.1119022832
2050,7659.62,169.5,143203.09027458724
