,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 9 biomass,biomass,49.22,DE0 9,,,2033.0
DE0 A biomass,biomass,8.880700000000001,DE0 A,,,2033.0
DE0 B biomass,biomass,8.576,DE0 B,,,2033.0
DE0 C biomass,biomass,0.011,DE0 C,,,2033.0
DE0 D biomass,biomass,14.721,DE0 D,,,2033.0
DE0 E biomass,biomass,3.33,DE0 E,,,2033.0
DE0 G biomass,biomass,2.522,DE0 G,,,2033.0
DE0 1 biomass,biomass,16.093799999999998,DE0 1,,,2032.0
DE0 2 biomass,biomass,23.98486,DE0 2,,,2032.0
DE0 4 biomass,biomass,40.504000000000005,DE0 4,,,2032.0
DE0 7 biomass,biomass,2.06,DE0 7,,,2032.0
DE0 8 biomass,biomass,2.573,DE0 8,,,2032.0
DE0 9 biomass,biomass,31.147,DE0 9,,,2032.0
DE0 A biomass,biomass,5.851,DE0 A,,,2032.0
DE0 B biomass,biomass,6.453,DE0 B,,,2032.0
DE0 D biomass,biomass,8.309000000000001,DE0 D,,,2032.0
DE0 E biomass,biomass,9.405,DE0 E,,,2032.0
DE0 F biomass,biomass,1.942,DE0 F,,,2032.0
DE0 G biomass,biomass,11.913,DE0 G,,,2032.0
DE0 1 biomass,biomass,21.492,DE0 1,,,2031.0
DE0 2 biomass,biomass,70.744,DE0 2,,,2031.0
DE0 4 biomass,biomass,23.723,DE0 4,,,2031.0
DE0 7 biomass,biomass,2.5865,DE0 7,,,2031.0
DE0 8 biomass,biomass,3.844,DE0 8,,,2031.0
DE0 9 biomass,biomass,20.755,DE0 9,,,2031.0
DE0 A biomass,biomass,28.781,DE0 A,,,2031.0
DE0 B biomass,biomass,2.7683,DE0 B,,,2031.0
DE0 C biomass,biomass,0.5,DE0 C,,,2031.0
DE0 D biomass,biomass,3.785,DE0 D,,,2031.0
DE0 E biomass,biomass,5.117,DE0 E,,,2031.0
DE0 F biomass,biomass,1.02,DE0 F,,,2031.0
DE0 G biomass,biomass,3.992,DE0 G,,,2031.0
DE0 1 biomass,biomass,32.59,DE0 1,,,2030.0
DE0 2 biomass,biomass,38.226,DE0 2,,,2030.0
DE0 4 biomass,biomass,5.438,DE0 4,,,2030.0
DE0 7 biomass,biomass,6.929,DE0 7,,,2030.0
DE0 8 biomass,biomass,1.367,DE0 8,,,2030.0
DE0 9 biomass,biomass,22.0095,DE0 9,,,2030.0
DE0 A biomass,biomass,66.279,DE0 A,,,2030.0
DE0 B biomass,biomass,3.0163,DE0 B,,,2030.0
DE0 C biomass,biomass,0.655,DE0 C,,,2030.0
DE0 D biomass,biomass,10.691,DE0 D,,,2030.0
DE0 E biomass,biomass,2.831,DE0 E,,,2030.0
DE0 F biomass,biomass,2.488,DE0 F,,,2030.0
DE0 G biomass,biomass,4.976500000000001,DE0 G,,,2030.0
DE0 1 biomass,biomass,4.188,DE0 1,,,2029.0
DE0 2 biomass,biomass,6.4888,DE0 2,,,2029.0
DE0 4 biomass,biomass,4.601,DE0 4,,,2029.0
DE0 7 biomass,biomass,4.355,DE0 7,,,2029.0
DE0 8 biomass,biomass,1.645,DE0 8,,,2029.0
DE0 9 biomass,biomass,0.908,DE0 9,,,2029.0
DE0 A biomass,biomass,5.3740000000000006,DE0 A,,,2029.0
DE0 B biomass,biomass,4.803,DE0 B,,,2029.0
DE0 C biomass,biomass,2.61,DE0 C,,,2029.0
DE0 D biomass,biomass,3.461,DE0 D,,,2029.0
DE0 1 biomass,biomass,6.0085,DE0 1,,,2028.0
DE0 2 biomass,biomass,3.195,DE0 2,,,2028.0
DE0 7 biomass,biomass,13.846,DE0 7,,,2028.0
DE0 8 biomass,biomass,6.82,DE0 8,,,2028.0
DE0 9 biomass,biomass,3.589,DE0 9,,,2028.0
DE0 A biomass,biomass,1.635,DE0 A,,,2028.0
DE0 B biomass,biomass,0.445,DE0 B,,,2028.0
DE0 D biomass,biomass,1.089,DE0 D,,,2028.0
DE0 E biomass,biomass,0.748,DE0 E,,,2028.0
DE0 1 biomass,biomass,5.058,DE0 1,,,2027.0
DE0 2 biomass,biomass,7.858,DE0 2,,,2027.0
DE0 4 biomass,biomass,5.712,DE0 4,,,2027.0
DE0 8 biomass,biomass,6.774,DE0 8,,,2027.0
DE0 9 biomass,biomass,3.617,DE0 9,,,2027.0
DE0 A biomass,biomass,6.812,DE0 A,,,2027.0
DE0 B biomass,biomass,1.584,DE0 B,,,2027.0
DE0 D biomass,biomass,3.067,DE0 D,,,2027.0
DE0 E biomass,biomass,0.4499999999999999,DE0 E,,,2027.0
DE0 F biomass,biomass,0.605,DE0 F,,,2027.0
DE0 G biomass,biomass,1.485,DE0 G,,,2027.0
DE0 1 biomass,biomass,1.461,DE0 1,,,2026.0
DE0 2 biomass,biomass,2.015,DE0 2,,,2026.0
DE0 8 biomass,biomass,0.33,DE0 8,,,2026.0
DE0 9 biomass,biomass,3.944,DE0 9,,,2026.0
DE0 A biomass,biomass,4.95,DE0 A,,,2026.0
DE0 B biomass,biomass,0.87,DE0 B,,,2026.0
DE0 D biomass,biomass,0.167,DE0 D,,,2026.0
DE0 1 biomass,biomass,4.721,DE0 1,,,2025.0
DE0 2 biomass,biomass,0.601,DE0 2,,,2025.0
DE0 4 biomass,biomass,0.25,DE0 4,,,2025.0
DE0 7 biomass,biomass,1.039,DE0 7,,,2025.0
DE0 8 biomass,biomass,4.128,DE0 8,,,2025.0
DE0 9 biomass,biomass,0.338,DE0 9,,,2025.0
DE0 A biomass,biomass,1.3,DE0 A,,,2025.0
DE0 B biomass,biomass,1.892,DE0 B,,,2025.0
DE0 D biomass,biomass,0.55,DE0 D,,,2025.0
DE0 F biomass,biomass,0.568,DE0 F,,,2025.0
DE0 G biomass,biomass,1.835,DE0 G,,,2025.0
DE0 1 biomass,biomass,16.514,DE0 1,,,2024.0
DE0 2 biomass,biomass,1.238,DE0 2,,,2024.0
DE0 4 biomass,biomass,5.26,DE0 4,,,2024.0
DE0 7 biomass,biomass,0.956,DE0 7,,,2024.0
DE0 9 biomass,biomass,2.78,DE0 9,,,2024.0
DE0 B biomass,biomass,0.508,DE0 B,,,2024.0
DE0 F biomass,biomass,1.0,DE0 F,,,2024.0
DE0 G biomass,biomass,1.92,DE0 G,,,2024.0
DE0 1 biomass,biomass,0.288,DE0 1,,,2023.0
DE0 2 biomass,biomass,0.4462,DE0 2,,,2023.0
DE0 7 biomass,biomass,0.112,DE0 7,,,2023.0
DE0 A biomass,biomass,3.972,DE0 A,,,2023.0
DE0 B biomass,biomass,0.25,DE0 B,,,2023.0
DE0 D biomass,biomass,0.53,DE0 D,,,2023.0
DE0 F biomass,biomass,1.5,DE0 F,,,2023.0
DE0 G biomass,biomass,28.0,DE0 G,,,2023.0
DE0 1 biomass,biomass,0.324,DE0 1,,,2022.0
DE0 2 biomass,biomass,0.4639999999999999,DE0 2,,,2022.0
DE0 7 biomass,biomass,0.748,DE0 7,,,2022.0
DE0 A biomass,biomass,2.635,DE0 A,,,2022.0
DE0 1 biomass,biomass,1.943,DE0 1,,,2021.0
DE0 2 biomass,biomass,0.245,DE0 2,,,2021.0
DE0 7 biomass,biomass,0.422,DE0 7,,,2021.0
DE0 A biomass,biomass,0.57,DE0 A,,,2021.0
DE0 B biomass,biomass,0.42,DE0 B,,,2021.0
DE0 D biomass,biomass,0.259,DE0 D,,,2021.0
DE0 1 biomass,biomass,0.269,DE0 1,,,2020.0
DE0 7 biomass,biomass,1.167,DE0 7,,,2020.0
DE0 9 biomass,biomass,3.116,DE0 9,,,2020.0
DE0 A biomass,biomass,0.36,DE0 A,,,2020.0
DE0 1 biomass,biomass,0.12,DE0 1,,,2019.0
DE0 9 biomass,biomass,0.1,DE0 9,,,2019.0
DE0 A biomass,biomass,0.2,DE0 A,,,2019.0
DE0 F biomass,biomass,3.5,DE0 F,,,2019.0
DE0 1 solar,solar,0.13038,DE0 1,,,2020.0
DE0 2 onwind,onwind,1.76,DE0 2,,,2020.0
DE0 2 solar,solar,0.0759,DE0 2,,,2020.0
DE0 4 onwind,onwind,12.08,DE0 4,,,2020.0
DE0 4 solar,solar,0.148346,DE0 4,,,2020.0
DE0 7 onwind,onwind,10.53,DE0 7,,,2020.0
DE0 7 solar,solar,0.0315,DE0 7,,,2020.0
DE0 8 onwind,onwind,23.18,DE0 8,,,2020.0
DE0 8 solar,solar,0.038233,DE0 8,,,2020.0
DE0 9 onwind,onwind,63.178,DE0 9,,,2020.0
DE0 9 solar,solar,0.09387,DE0 9,,,2020.0
DE0 A onwind,onwind,30.43,DE0 A,,,2020.0
DE0 A solar,solar,0.57464,DE0 A,,,2020.0
DE0 B onwind,onwind,3.47,DE0 B,,,2020.0
DE0 B solar,solar,0.02504,DE0 B,,,2020.0
DE0 C onwind,onwind,1.54,DE0 C,,,2020.0
DE0 C solar,solar,0.0113499999999999,DE0 C,,,2020.0
