timestamp,DE2,DE9,DEA,DEE
2019-01-01 00:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 01:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 02:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 03:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 04:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 05:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 06:00:00,9916.156731843223,11052.917130003181,33368.93303343848,12715.937947207824
2019-01-01 07:00:00,9992.016698891486,11137.473470926745,33624.20997477841,12813.21662681615
2019-01-01 08:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-01 09:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-01 10:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-01 11:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-01 12:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-01 13:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-01 14:00:00,9992.016698891486,11137.473470926745,33624.20997477841,12813.21662681615
2019-01-01 15:00:00,9916.156731843223,11052.917130003181,33368.93303343848,12715.937947207824
2019-01-01 16:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-01 17:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-01 18:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-01 19:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-01 20:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-01 21:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-01 22:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-01 23:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 00:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 01:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 02:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 03:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 04:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 05:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 06:00:00,9916.156731843223,11052.917130003181,33368.93303343848,12715.937947207824
2019-01-02 07:00:00,9992.016698891486,11137.473470926745,33624.20997477841,12813.21662681615
2019-01-02 08:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-02 09:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-02 10:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-02 11:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-02 12:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-02 13:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-02 14:00:00,9992.016698891486,11137.473470926745,33624.20997477841,12813.21662681615
2019-01-02 15:00:00,9916.156731843223,11052.917130003181,33368.93303343848,12715.937947207824
2019-01-02 16:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-02 17:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-02 18:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-02 19:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-02 20:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-02 21:00:00,9840.29676907981,10968.360793855672,33113.65610651753,12618.659273094154
2019-01-02 22:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-02 23:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 00:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 01:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 02:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 03:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 04:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 05:00:00,9738.725211147063,10855.14535737605,32771.85689877852,12488.40945324949
2019-01-03 06:00:00,9916.156731843223,11052.917130003181,33368.93303343848,12715.937947207824
2019-01-03 07:00:00,9992.016698891486,11137.473470926745,33624.20997477841,12813.21662681615
2019-01-03 08:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-03 09:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-03 10:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-03 11:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
2019-01-03 12:00:00,10093.163319480078,11250.215256436803,33964.57922268883,12942.921530213258
