NUTS2_Code,Region,Bundesland,,scaled to 536,,residential hotmaps 650,NUTS,Name,Bus,industry,scaled to 510,CO2,,,Cooling density total,,,,Heat density total,,,,,,Cooling density total,,,,,,Cooling density total
DEA1,Düsseldorf,Nordrhein-Westfalen,,,,,,,,,,,,,"Heat demand total;""79791.66199"";""GWh/yr""",,,,"Heat demand total;""40878.20307"";""GWh/yr""",,,,,,"Heat demand total;""36684.71504"";""GWh/yr""",,,,,,"Heat demand total;""66657.42385"";""GWh/yr"""
DEA2,Köln,Nordrhein-Westfalen,,,,,,,,,,,,,"Counted Cells;""1405130"";""cells""",,,,"Counted Cells;""919462"";""cells""",,,,,,"Counted Cells;""888523"";""cells""",,,,,,"Counted Cells;""1321751"";""cells"""
DEA3,Münster,Nordrhein-Westfalen,,,,,,,,,,,,,"Average heat density;""56.7860385515930910"";""MWh/(ha*yr)""",,,,"Average heat density;""44.4585368835253659"";""MWh/(ha*yr)""",,,,,,"Average heat density;""41.2876416367387226"";""MWh/(ha*yr)""",,,,,,"Average heat density;""50.4310985125034897"";""MWh/(ha*yr)"""
DEA4,Detmold,Nordrhein-Westfalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA5,Arnsberg,Nordrhein-Westfalen,,,,,,,,,,,,,Industrial Sites Emissions,,,,Industrial Sites Emissions,,,,,,Industrial Sites Emissions,,,,,,Industrial Sites Emissions
DEB1,Koblenz,Rheinland-Pfalz,,,,,,,,,,,,,"indicator;""value"";""unit""",,,,"indicator;""value"";""unit""",,,,,,"indicator;""value"";""unit""",,,,,,"indicator;""value"";""unit"""
DEB2,Trier,Rheinland-Pfalz,,,,,,,,,,,,,"CO? emissions of energy intensive industries;""60084172.00"";""t/yr""",,,,"CO? emissions of energy intensive industries;""19521599.00"";""t/yr""",,,,,,"CO? emissions of energy intensive industries;""21587107.00"";""t/yr""",,,,,,"CO? emissions of energy intensive industries;""19834246.00"";""t/yr"""
DEB3,Rheinhessen-Pfalz,Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC0,Saarland,Saarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED2,Dresden,Sachsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED4,Chemnitz,Sachsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED5,Leipzig,Sachsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE0,Sachsen-Anhalt,Sachsen-Anhalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF0,Schleswig-Holstein,Schleswig-Holstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG0,Thüringen,Thüringen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
