country;NUTS0_ID;type_of_building;heating_equipment;year;datetime;price_index_households_appliances;labour_cost_index_construction_sector;equipment_and_maintenance_index;specific_investment_costs;equipment_cost_ share;installation_cost_share;fixed_O_and_M;variable_O_and_M;technical_lifetime;total_annual_net_efficiency;k1_specific_investment_costs;k2_specific_investment_costs;InCost_CAGR;k1_fixed_O_and_M;k2_fixed_O_and_M;;;;;
Romania;RO;existing SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.11;0.57;461;0.8;0.2;28;;20;0.8;937;-0.298;;121;-0.64;;;;;
Slovakia;SK;existing SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.24;0.66;484;0.8;0.2;33;;20;0.8;985;-0.298;;140;-0.64;;;;;
Slovenia;SI;existing SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.88;0.3;0.73;534;0.8;0.2;37;;20;0.8;1081;-0.298;;155;-0.64;;;;;
Spain;ES;existing SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.51;0.82;571;0.8;0.2;41;;20;0.8;1152;-0.298;;174;-0.64;;;;;
Sweden;SE;existing SFH;Biomass_Automatic;2015;01.01.2015 00:00;1.01;1.02;0.98;706;0.8;0.2;49;;20;0.8;1432;-0.298;;208;-0.64;;;;;
United Kingdom;UK;existing SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.71;0.85;585;0.8;0.2;42;;20;0.8;1186;-0.298;;181;-0.64;;;;;
Austria;AT;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.82;0.81;0.9;184;0.8;0.2;4;;20;0.8;1157;-0.298;;191;-0.64;;;;;
Belgium;BE;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.92;0.88;0.88;206;0.8;0.2;4;;20;0.8;1290;-0.298;;187;-0.64;;;;;
Bulgaria;BG;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.73;0.09;0.52;136;0.8;0.2;3;;20;0.8;852;-0.298;;110;-0.64;;;;;
Croatia;HR;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.83;0.23;0.66;161;0.8;0.2;3;;20;0.8;1005;-0.298;;140;-0.64;;;;;
Cyprus;CY;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;1.02;0.36;0.73;199;0.8;0.2;4;;20;0.8;1256;-0.298;;155;-0.64;;;;;
Czech Republic;CZ;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.24;0.63;156;0.8;0.2;3;;20;0.8;973;-0.298;;134;-0.64;;;;;
Denmark;DK;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;1;1;1;225;0.8;0.2;5;;20;0.8;1415;-0.298;;212;-0.64;;;;;
Estonia;EE;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.82;0.3;0.72;161;0.8;0.2;4;;20;0.8;1013;-0.298;;153;-0.64;;;;;
Finland;FI;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.94;0.87;0.92;208;0.8;0.2;5;;20;0.8;1310;-0.298;;195;-0.64;;;;;
France;FR;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.93;0.8;0.84;203;0.8;0.2;4;;20;0.8;1279;-0.298;;178;-0.64;;;;;
Germany;DE;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.69;0.82;191;0.8;0.2;4;;20;0.8;1203;-0.298;;174;-0.64;;;;;
Greece;EL;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.29;0.74;159;0.8;0.2;4;;20;0.8;999;-0.298;;157;-0.64;;;;;
Hungary;HU;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.76;0.15;0.57;144;0.8;0.2;3;;20;0.8;903;-0.298;;121;-0.64;;;;;
Ireland;IE;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.69;0.83;187;0.8;0.2;4;;20;0.8;1180;-0.298;;176;-0.64;;;;;
Italy;IT;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.94;0.6;0.87;197;0.8;0.2;4;;20;0.8;1234;-0.298;;185;-0.64;;;;;
Latvia;LV;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.76;0.19;0.68;146;0.8;0.2;3;;20;0.8;914;-0.298;;144;-0.64;;;;;
Lithuania;LT;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.18;0.66;154;0.8;0.2;3;;20;0.8;968;-0.298;;140;-0.64;;;;;
Luxembourg;LU;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.98;0.64;0.92;206;0.8;0.2;5;;20;0.8;1290;-0.298;;195;-0.64;;;;;
Malta;MT;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;1.16;0.24;0.85;220;0.8;0.2;4;;20;0.8;1381;-0.298;;181;-0.64;;;;;
Netherlands;NL;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.86;0.88;195;0.8;0.2;4;;20;0.8;1228;-0.298;;187;-0.64;;;;;
Poland;PL;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.66;0.19;0.52;127;0.8;0.2;3;;20;0.8;801;-0.298;;110;-0.64;;;;;
Portugal;PT;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;1;0.3;0.77;194;0.8;0.2;4;;20;0.8;1217;-0.298;;164;-0.64;;;;;
Romania;RO;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.11;0.57;148;0.8;0.2;3;;20;0.8;937;-0.298;;121;-0.64;;;;;
Slovakia;SK;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.24;0.66;156;0.8;0.2;3;;20;0.8;985;-0.298;;140;-0.64;;;;;
Slovenia;SI;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.88;0.3;0.73;172;0.8;0.2;4;;20;0.8;1081;-0.298;;155;-0.64;;;;;
Spain;ES;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.51;0.82;184;0.8;0.2;4;;20;0.8;1152;-0.298;;174;-0.64;;;;;
Sweden;SE;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;1.01;1.02;0.98;227;0.8;0.2;5;;20;0.8;1432;-0.298;;208;-0.64;;;;;
United Kingdom;UK;existing MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.71;0.85;188;0.8;0.2;4;;20;0.8;1186;-0.298;;181;-0.64;;;;;
Austria;AT;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.82;0.81;0.9;573;0.8;0.2;45;;20;0.75;1157;-0.298;;191;-0.64;;;;;
Belgium;BE;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.92;0.88;0.88;640;0.8;0.2;44;;20;0.75;1290;-0.298;;187;-0.64;;;;;
Bulgaria;BG;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.73;0.09;0.52;424;0.8;0.2;26;;20;0.75;852;-0.298;;110;-0.64;;;;;
Croatia;HR;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.83;0.23;0.66;499;0.8;0.2;33;;20;0.75;1005;-0.298;;140;-0.64;;;;;
Cyprus;CY;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;1.02;0.36;0.73;620;0.8;0.2;37;;20;0.75;1256;-0.298;;155;-0.64;;;;;
Czech Republic;CZ;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.24;0.63;484;0.8;0.2;31;;20;0.75;973;-0.298;;134;-0.64;;;;;
Denmark;DK;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;1;1;1;700;0.8;0.2;50;;20;0.75;1415;-0.298;;212;-0.64;;;;;
Estonia;EE;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.82;0.3;0.72;502;0.8;0.2;36;;20;0.75;1013;-0.298;;153;-0.64;;;;;
Finland;FI;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.94;0.87;0.92;646;0.8;0.2;46;;20;0.75;1310;-0.298;;195;-0.64;;;;;
France;FR;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.93;0.8;0.84;631;0.8;0.2;42;;20;0.75;1279;-0.298;;178;-0.64;;;;;
Germany;DE;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.69;0.82;594;0.8;0.2;41;;20;0.75;1203;-0.298;;174;-0.64;;;;;
Greece;EL;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.29;0.74;494;0.8;0.2;37;;20;0.75;999;-0.298;;157;-0.64;;;;;
Hungary;HU;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.76;0.15;0.57;448;0.8;0.2;28;;20;0.75;903;-0.298;;121;-0.64;;;;;
Ireland;IE;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.69;0.83;582;0.8;0.2;41;;20;0.75;1180;-0.298;;176;-0.64;;;;;
Italy;IT;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.94;0.6;0.87;613;0.8;0.2;43;;20;0.75;1234;-0.298;;185;-0.64;;;;;
Latvia;LV;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.76;0.19;0.68;454;0.8;0.2;34;;20;0.75;914;-0.298;;144;-0.64;;;;;
Lithuania;LT;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.18;0.66;479;0.8;0.2;33;;20;0.75;968;-0.298;;140;-0.64;;;;;
Luxembourg;LU;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.98;0.64;0.92;641;0.8;0.2;46;;20;0.75;1290;-0.298;;195;-0.64;;;;;
Malta;MT;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;1.16;0.24;0.85;683;0.8;0.2;43;;20;0.75;1381;-0.298;;181;-0.64;;;;;
Netherlands;NL;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.86;0.88;605;0.8;0.2;44;;20;0.75;1228;-0.298;;187;-0.64;;;;;
Poland;PL;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.66;0.19;0.52;397;0.8;0.2;26;;20;0.75;801;-0.298;;110;-0.64;;;;;
Portugal;PT;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;1;0.3;0.77;603;0.8;0.2;39;;20;0.75;1217;-0.298;;164;-0.64;;;;;
Romania;RO;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.11;0.57;461;0.8;0.2;28;;20;0.75;937;-0.298;;121;-0.64;;;;;
Slovakia;SK;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.24;0.66;484;0.8;0.2;33;;20;0.75;985;-0.298;;140;-0.64;;;;;
Slovenia;SI;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.88;0.3;0.73;534;0.8;0.2;37;;20;0.75;1081;-0.298;;155;-0.64;;;;;
Spain;ES;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.51;0.82;571;0.8;0.2;41;;20;0.75;1152;-0.298;;174;-0.64;;;;;
Sweden;SE;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;1.01;1.02;0.98;706;0.8;0.2;49;;20;0.75;1432;-0.298;;208;-0.64;;;;;
United Kingdom;UK;new SFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.71;0.85;585;0.8;0.2;42;;20;0.75;1186;-0.298;;181;-0.64;;;;;
Austria;AT;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.82;0.81;0.9;274;0.8;0.2;6;;20;0.8;1157;-0.298;;191;-0.64;;;;;
Belgium;BE;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.92;0.88;0.88;306;0.8;0.2;6;;20;0.8;1290;-0.298;;187;-0.64;;;;;
Bulgaria;BG;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.73;0.09;0.52;203;0.8;0.2;4;;20;0.8;852;-0.298;;110;-0.64;;;;;
Croatia;HR;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.83;0.23;0.66;239;0.8;0.2;5;;20;0.8;1005;-0.298;;140;-0.64;;;;;
Cyprus;CY;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;1.02;0.36;0.73;297;0.8;0.2;5;;20;0.8;1256;-0.298;;155;-0.64;;;;;
Czech Republic;CZ;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.24;0.63;232;0.8;0.2;4;;20;0.8;973;-0.298;;134;-0.64;;;;;
Denmark;DK;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;1;1;1;335;0.8;0.2;7;;20;0.8;1415;-0.298;;212;-0.64;;;;;
Estonia;EE;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.82;0.3;0.72;240;0.8;0.2;5;;20;0.8;1013;-0.298;;153;-0.64;;;;;
Finland;FI;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.94;0.87;0.92;309;0.8;0.2;6;;20;0.8;1310;-0.298;;195;-0.64;;;;;
France;FR;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.93;0.8;0.84;302;0.8;0.2;6;;20;0.8;1279;-0.298;;178;-0.64;;;;;
Germany;DE;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.69;0.82;284;0.8;0.2;6;;20;0.8;1203;-0.298;;174;-0.64;;;;;
Greece;EL;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.29;0.74;236;0.8;0.2;5;;20;0.8;999;-0.298;;157;-0.64;;;;;
Hungary;HU;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.76;0.15;0.57;214;0.8;0.2;4;;20;0.8;903;-0.298;;121;-0.64;;;;;
Ireland;IE;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.69;0.83;279;0.8;0.2;6;;20;0.8;1180;-0.298;;176;-0.64;;;;;
Italy;IT;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.94;0.6;0.87;293;0.8;0.2;6;;20;0.8;1234;-0.298;;185;-0.64;;;;;
Latvia;LV;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.76;0.19;0.68;217;0.8;0.2;5;;20;0.8;914;-0.298;;144;-0.64;;;;;
Lithuania;LT;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.18;0.66;229;0.8;0.2;5;;20;0.8;968;-0.298;;140;-0.64;;;;;
Luxembourg;LU;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.98;0.64;0.92;307;0.8;0.2;6;;20;0.8;1290;-0.298;;195;-0.64;;;;;
Malta;MT;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;1.16;0.24;0.85;327;0.8;0.2;6;;20;0.8;1381;-0.298;;181;-0.64;;;;;
Netherlands;NL;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.86;0.88;290;0.8;0.2;6;;20;0.8;1228;-0.298;;187;-0.64;;;;;
Poland;PL;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.66;0.19;0.52;190;0.8;0.2;4;;20;0.8;801;-0.298;;110;-0.64;;;;;
Portugal;PT;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;1;0.3;0.77;289;0.8;0.2;5;;20;0.8;1217;-0.298;;164;-0.64;;;;;
Romania;RO;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.8;0.11;0.57;221;0.8;0.2;4;;20;0.8;937;-0.298;;121;-0.64;;;;;
Slovakia;SK;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.81;0.24;0.66;232;0.8;0.2;5;;20;0.8;985;-0.298;;140;-0.64;;;;;
Slovenia;SI;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.88;0.3;0.73;255;0.8;0.2;5;;20;0.8;1081;-0.298;;155;-0.64;;;;;
Spain;ES;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.89;0.51;0.82;273;0.8;0.2;6;;20;0.8;1152;-0.298;;174;-0.64;;;;;
Sweden;SE;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;1.01;1.02;0.98;338;0.8;0.2;7;;20;0.8;1432;-0.298;;208;-0.64;;;;;
United Kingdom;UK;new MFH;Biomass_Automatic;2015;01.01.2015 00:00;0.87;0.71;0.85;280;0.8;0.2;6;;20;0.8;1186;-0.298;;181;-0.64;;;;;
Austria;AT;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.82;0.81;0.9;573;0.8;0.2;45;;20;0.82;1157;-0.298;;191;-0.64;;;;;
Belgium;BE;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.92;0.88;0.88;640;0.8;0.2;44;;20;0.82;1290;-0.298;;187;-0.64;;;;;
Bulgaria;BG;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.73;0.09;0.52;424;0.8;0.2;26;;20;0.82;852;-0.298;;110;-0.64;;;;;
Croatia;HR;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.83;0.23;0.66;499;0.8;0.2;33;;20;0.82;1005;-0.298;;140;-0.64;;;;;
Cyprus;CY;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;1.02;0.36;0.73;620;0.8;0.2;37;;20;0.82;1256;-0.298;;155;-0.64;;;;;
Czech Republic;CZ;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.8;0.24;0.63;484;0.8;0.2;31;;20;0.82;973;-0.298;;134;-0.64;;;;;
Denmark;DK;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;1;1;1;700;0.8;0.2;50;;20;0.82;1415;-0.298;;212;-0.64;;;;;
Estonia;EE;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.82;0.3;0.72;502;0.8;0.2;36;;20;0.82;1013;-0.298;;153;-0.64;;;;;
Finland;FI;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.94;0.87;0.92;646;0.8;0.2;46;;20;0.82;1310;-0.298;;195;-0.64;;;;;
France;FR;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.93;0.8;0.84;631;0.8;0.2;42;;20;0.82;1279;-0.298;;178;-0.64;;;;;
Germany;DE;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.89;0.69;0.82;594;0.8;0.2;41;;20;0.82;1203;-0.298;;174;-0.64;;;;;
Greece;EL;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.81;0.29;0.74;494;0.8;0.2;37;;20;0.82;999;-0.298;;157;-0.64;;;;;
Hungary;HU;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.76;0.15;0.57;448;0.8;0.2;28;;20;0.82;903;-0.298;;121;-0.64;;;;;
Ireland;IE;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.87;0.69;0.83;582;0.8;0.2;41;;20;0.82;1180;-0.298;;176;-0.64;;;;;
Italy;IT;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.94;0.6;0.87;613;0.8;0.2;43;;20;0.82;1234;-0.298;;185;-0.64;;;;;
Latvia;LV;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.76;0.19;0.68;454;0.8;0.2;34;;20;0.82;914;-0.298;;144;-0.64;;;;;
Lithuania;LT;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.81;0.18;0.66;479;0.8;0.2;33;;20;0.82;968;-0.298;;140;-0.64;;;;;
Luxembourg;LU;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.98;0.64;0.92;641;0.8;0.2;46;;20;0.82;1290;-0.298;;195;-0.64;;;;;
Malta;MT;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;1.16;0.24;0.85;683;0.8;0.2;43;;20;0.82;1381;-0.298;;181;-0.64;;;;;
Netherlands;NL;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.87;0.86;0.88;605;0.8;0.2;44;;20;0.82;1228;-0.298;;187;-0.64;;;;;
Poland;PL;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.66;0.19;0.52;397;0.8;0.2;26;;20;0.82;801;-0.298;;110;-0.64;;;;;
Portugal;PT;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;1;0.3;0.77;603;0.8;0.2;39;;20;0.82;1217;-0.298;;164;-0.64;;;;;
Romania;RO;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.8;0.11;0.57;461;0.8;0.2;28;;20;0.82;937;-0.298;;121;-0.64;;;;;
Slovakia;SK;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.81;0.24;0.66;484;0.8;0.2;33;;20;0.82;985;-0.298;;140;-0.64;;;;;
Slovenia;SI;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.88;0.3;0.73;534;0.8;0.2;37;;20;0.82;1081;-0.298;;155;-0.64;;;;;
Spain;ES;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.89;0.51;0.82;571;0.8;0.2;41;;20;0.82;1152;-0.298;;174;-0.64;;;;;
Sweden;SE;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;1.01;1.02;0.98;706;0.8;0.2;49;;20;0.82;1432;-0.298;;208;-0.64;;;;;
United Kingdom;UK;existing SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.87;0.71;0.85;585;0.8;0.2;42;;20;0.82;1186;-0.298;;181;-0.64;;;;;
Austria;AT;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.82;0.81;0.9;184;0.8;0.2;4;;20;0.85;1157;-0.298;;191;-0.64;;;;;
Belgium;BE;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.92;0.88;0.88;206;0.8;0.2;4;;20;0.85;1290;-0.298;;187;-0.64;;;;;
Bulgaria;BG;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.73;0.09;0.52;136;0.8;0.2;3;;20;0.85;852;-0.298;;110;-0.64;;;;;
Croatia;HR;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.83;0.23;0.66;161;0.8;0.2;3;;20;0.85;1005;-0.298;;140;-0.64;;;;;
Cyprus;CY;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;1.02;0.36;0.73;199;0.8;0.2;4;;20;0.85;1256;-0.298;;155;-0.64;;;;;
Czech Republic;CZ;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.8;0.24;0.63;156;0.8;0.2;3;;20;0.85;973;-0.298;;134;-0.64;;;;;
Denmark;DK;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;1;1;1;225;0.8;0.2;5;;20;0.85;1415;-0.298;;212;-0.64;;;;;
Estonia;EE;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.82;0.3;0.72;161;0.8;0.2;4;;20;0.85;1013;-0.298;;153;-0.64;;;;;
Finland;FI;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.94;0.87;0.92;208;0.8;0.2;5;;20;0.85;1310;-0.298;;195;-0.64;;;;;
France;FR;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.93;0.8;0.84;203;0.8;0.2;4;;20;0.85;1279;-0.298;;178;-0.64;;;;;
Germany;DE;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.89;0.69;0.82;191;0.8;0.2;4;;20;0.85;1203;-0.298;;174;-0.64;;;;;
Greece;EL;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.81;0.29;0.74;159;0.8;0.2;4;;20;0.85;999;-0.298;;157;-0.64;;;;;
Hungary;HU;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.76;0.15;0.57;144;0.8;0.2;3;;20;0.85;903;-0.298;;121;-0.64;;;;;
Ireland;IE;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.87;0.69;0.83;187;0.8;0.2;4;;20;0.85;1180;-0.298;;176;-0.64;;;;;
Italy;IT;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.94;0.6;0.87;197;0.8;0.2;4;;20;0.85;1234;-0.298;;185;-0.64;;;;;
Latvia;LV;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.76;0.19;0.68;146;0.8;0.2;3;;20;0.85;914;-0.298;;144;-0.64;;;;;
Lithuania;LT;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.81;0.18;0.66;154;0.8;0.2;3;;20;0.85;968;-0.298;;140;-0.64;;;;;
Luxembourg;LU;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.98;0.64;0.92;206;0.8;0.2;5;;20;0.85;1290;-0.298;;195;-0.64;;;;;
Malta;MT;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;1.16;0.24;0.85;220;0.8;0.2;4;;20;0.85;1381;-0.298;;181;-0.64;;;;;
Netherlands;NL;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.87;0.86;0.88;195;0.8;0.2;4;;20;0.85;1228;-0.298;;187;-0.64;;;;;
Poland;PL;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.66;0.19;0.52;127;0.8;0.2;3;;20;0.85;801;-0.298;;110;-0.64;;;;;
Portugal;PT;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;1;0.3;0.77;194;0.8;0.2;4;;20;0.85;1217;-0.298;;164;-0.64;;;;;
Romania;RO;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.8;0.11;0.57;148;0.8;0.2;3;;20;0.85;937;-0.298;;121;-0.64;;;;;
Slovakia;SK;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.81;0.24;0.66;156;0.8;0.2;3;;20;0.85;985;-0.298;;140;-0.64;;;;;
Slovenia;SI;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.88;0.3;0.73;172;0.8;0.2;4;;20;0.85;1081;-0.298;;155;-0.64;;;;;
Spain;ES;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.89;0.51;0.82;184;0.8;0.2;4;;20;0.85;1152;-0.298;;174;-0.64;;;;;
Sweden;SE;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;1.01;1.02;0.98;227;0.8;0.2;5;;20;0.85;1432;-0.298;;208;-0.64;;;;;
United Kingdom;UK;existing MFH;Biomass_Automatic;2020;01.01.2020 00:00;0.87;0.71;0.85;188;0.8;0.2;4;;20;0.85;1186;-0.298;;181;-0.64;;;;;
Austria;AT;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.82;0.81;0.9;573;0.8;0.2;45;;20;0.85;1157;-0.298;;191;-0.64;;;;;
Belgium;BE;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.92;0.88;0.88;640;0.8;0.2;44;;20;0.85;1290;-0.298;;187;-0.64;;;;;
Bulgaria;BG;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.73;0.09;0.52;424;0.8;0.2;26;;20;0.85;852;-0.298;;110;-0.64;;;;;
Croatia;HR;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.83;0.23;0.66;499;0.8;0.2;33;;20;0.85;1005;-0.298;;140;-0.64;;;;;
Cyprus;CY;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;1.02;0.36;0.73;620;0.8;0.2;37;;20;0.85;1256;-0.298;;155;-0.64;;;;;
Czech Republic;CZ;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.8;0.24;0.63;484;0.8;0.2;31;;20;0.85;973;-0.298;;134;-0.64;;;;;
Denmark;DK;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;1;1;1;700;0.8;0.2;50;;20;0.85;1415;-0.298;;212;-0.64;;;;;
Estonia;EE;new SFH;Biomass_Automatic;2020;01.01.2020 00:00;0.82;0.3;0.72;502;0.8;0.2;36;;20;0.85;1013;-0.298;;153;-0.64;;;;;
