snapshot,DE0 2,DE0 9,DE0 A,DE0 E
2013-01-01 00:00:00,13700.44918616784,6736.765922264011,12483.950265968739,5696.4170255994095
2013-01-01 01:00:00,13147.238308465967,6464.741834726033,11979.86043723555,5466.401219572454
2013-01-01 02:00:00,12621.70744100622,6206.328523535107,11500.992837827009,5247.894297631665
2013-01-01 03:00:00,12427.167437849555,6110.669582286222,11323.726553258677,5167.007826605545
2013-01-01 04:00:00,12212.354751135275,6005.042185121187,11127.987650030038,5077.6923137135
2013-01-01 05:00:00,11587.019832129728,5697.553363761115,10558.17786333191,4817.688540777249
2013-01-01 06:00:00,11557.000630615257,5682.792363517383,10530.824145680877,4805.2070601864825
2013-01-01 07:00:00,11857.192574805498,5830.402331065073,10804.361257536964,4930.021836592467
2013-01-01 08:00:00,12707.866417080551,6248.694496068381,11579.501531787546,5283.717755063523
2013-01-01 09:00:00,13728.908950485571,6750.760118206501,12509.883012953593,5708.2501183543345
2013-01-01 10:00:00,14942.152295774915,7347.334457696826,13615.39929036159,6212.696356166668
2013-01-01 11:00:00,15482.497816603687,7613.032409749555,14107.766111098816,6437.362962547941
2013-01-01 12:00:00,15500.82123914261,7622.042377733968,14124.462548753516,6444.981534369903
2013-01-01 13:00:00,15483.66739450124,7613.607512975486,14108.83183909845,6437.849253424821
2013-01-01 14:00:00,15714.464347959336,7727.094671673072,14319.135723982523,6533.810756385068
2013-01-01 15:00:00,16537.068285215842,8131.584341809204,15068.698493914795,6875.83567906016
2013-01-01 16:00:00,17772.533646035958,8739.085660037046,16194.463635642936,7389.521458284055
2013-01-01 17:00:00,18292.606483307118,8994.815156173625,16668.357837719857,7605.759022799403
2013-01-01 18:00:00,17909.374401958794,8806.372807250333,16319.153940908473,7446.417549882404
2013-01-01 19:00:00,17156.165490911666,8436.00596340912,15632.82443027533,7133.245915403887
2013-01-01 20:00:00,16755.779564921973,8239.128749727344,15267.989823808877,6966.772161541805
2013-01-01 21:00:00,16725.760363407502,8224.367749483612,15240.636106157846,6954.29068095104
