snapshot,DE0 1,DE0 2,DE0 4,DE0 7,DE0 8,DE0 9,DE0 A,DE0 B,DE0 C,DE0 D,DE0 E,DE0 F,DE0 G
2013-11-03 18:00:00,8939.634243933968,12873.795082558085,3087.351326268043,5524.443357453381,893.6940535887974,7287.546484421657,10541.051486149212,3112.8698674533725,698.1928486105058,2150.258627983717,1744.737676521375,2544.828756329966,2087.310488727921
2013-11-03 19:00:00,8502.97388583817,12244.96891166455,2936.548295751385,5254.599497075937,850.0411753143906,6931.58307801198,10026.169200023083,2960.82037259287,664.089312495361,2045.2283015885332,1659.5151989765006,2420.525478845705,1985.3548918215358
2013-11-03 20:00:00,8163.7752148205145,11756.495439059063,2819.404189151574,5044.984227163519,816.1315290132122,6655.069966284555,9626.20757321976,2842.708009907835,637.5976149716714,1963.6405264006116,1593.3142018213807,2323.9664353143244,1906.1555728719768
2013-11-03 21:00:00,8093.954305628739,11655.9476925981,2795.291158269943,5001.836862576697,809.1515419513038,6598.152299696026,9543.87917157406,2818.3956724664286,632.144544057248,1946.8464374807934,1579.687338847817,2304.0906492747667,1889.853125578073
2013-11-03 22:00:00,7562.708161976343,10890.91035380307,2611.822412074545,4673.54163825422,756.0429351985963,6165.083019578263,8917.467307368548,2633.410463043741,590.6537796446327,1819.0653031746815,1476.0046671584282,2152.861815279307,1765.8127434456228
2013-11-03 23:00:00,7059.901676322155,10166.828418696441,2438.175456507657,4362.821325324013,705.7774372963818,5755.197610747364,8324.589689758302,2458.3282263834326,551.384176108342,1698.1247865402659,1377.8725293569921,2009.7288448862246,1648.412722072426
2013-11-04 00:00:00,6759.847461973871,9734.726124153585,2334.550101001744,4177.396232294389,675.7810571537289,5510.594870272437,7970.784731325299,2353.8463541993488,527.9496931153079,1625.9524643109676,1319.311308787179,1924.312979729365,1578.3532216827793
2013-11-04 01:00:00,6690.026538242729,9634.178356754759,2310.4370650988635,4134.248858722645,668.8010686383218,5453.677191831485,7888.456312535696,2329.5340116951893,522.4966210653477,1609.1583718939812,1305.6844429759844,1904.4371895509132,1562.0507709940862
2013-11-04 02:00:00,6737.958516209324,9703.204274975335,2326.9906344852434,4163.869477426016,673.592822139262,5492.751107831892,7944.974670422843,2346.2244048173575,526.2401482973194,1620.6874956105285,1315.0392695367307,1918.0818949771935,1573.2423832709576
2013-11-04 03:00:00,7014.206507419121,10101.023686123663,2422.3943813017504,4334.582991917323,701.2092973018302,5717.9471306485475,8270.708835695174,2442.416712502094,547.8153455193506,1687.1336846103864,1368.9542581341814,1996.7208876614982,1637.7433811650822
2013-11-04 04:00:00,7681.41970236105,11061.86455653061,2652.8200884502585,4746.902042364306,767.9105121977525,6261.856091628485,9057.444450174406,2674.7470062287466,599.9252494030718,1847.619101572716,1499.1734558913265,2186.655204744231,1793.5306384530372
2013-11-04 05:00:00,9207.57401865066,13259.649991164672,3179.8857853140444,5690.022627056675,920.4799574468566,7505.969689442412,10856.989127825364,3206.169171233478,719.1191672339378,2214.706433860733,1797.0311604862336,2621.1026647537124,2149.8716055312225
2013-11-04 06:00:00,10266.870829126183,14785.122924123069,3545.7197023954145,6344.638360600135,1026.3777195560765,8369.503312462639,12106.044951995458,3575.0268931538385,801.8511266686074,2469.500091427452,2003.7728464908564,2922.6506824050975,2397.206259595166
2013-11-04 07:00:00,10646.492127189804,15331.80824333084,3676.8239831831434,6579.233680857053,1064.32841053936,8678.96875373529,12553.670384864005,3707.214818021977,831.4998648894253,2560.810759096162,2077.8630792082613,3030.7167586523606,2485.8438364323147
2013-11-04 08:00:00,10736.284704772186,15461.116804753772,3707.83433840837,6634.722976642303,1073.3049626501177,8752.167227546639,12659.548115153942,3738.481489728018,838.5127396688229,2582.408652187418,2095.387788710359,3056.2778417237055,2506.80945805434
2013-11-04 09:00:00,10966.358222274834,15792.441245713115,3787.291479496994,6776.901960794356,1096.3053817802286,8939.72204331247,12930.836260442493,3818.5953848148297,856.4816721991456,2637.7484516223135,2140.2909607421516,3121.7724343920813,2560.5292024149853
2013-11-04 10:00:00,11139.712225974294,16042.085007356072,3847.1602278855053,6884.029875437539,1113.635558613486,9081.039386477561,13135.244341183163,3878.9589790955038,870.0207636606436,2679.445453085569,2174.1242534001267,3171.1207904435237,2601.005537387011
