,bus,carrier,p_nom,year_removed
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,7152.63,2064
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2003.47,2064
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4479.18,2064
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1254.63,2064
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,8608.95,2064
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2411.38,2064
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4262.12,2064
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1193.83,2064
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,6982.32,2063
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1926.83,2063
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4372.54,2063
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1206.64,2063
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,8403.97,2063
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2319.15,2063
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4160.64,2063
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1148.16,2063
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,6812.02,2062
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1850.19,2062
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4265.89,2062
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1158.65,2062
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,8199.0,2062
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2226.91,2062
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4059.16,2062
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1102.5,2062
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,6641.72,2061
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1773.56,2061
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4159.24,2061
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1110.66,2061
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,7994.02,2061
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2134.67,2061
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3957.68,2061
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1056.83,2061
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,6471.42,2060
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1696.92,2060
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4052.6,2060
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1062.66,2060
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,7789.05,2060
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2042.43,2060
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3856.2,2060
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1011.17,2060
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,6233.0,2059
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1620.29,2059
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3903.29,2059
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1014.67,2059
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,7502.08,2059
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,1950.19,2059
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3714.13,2059
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,965.5,2059
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,5994.58,2058
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1543.65,2058
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3753.98,2058
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,966.68,2058
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,7215.12,2058
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,1857.95,2058
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3572.06,2058
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,919.83,2058
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,5756.16,2057
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1467.02,2057
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3604.68,2057
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,918.69,2057
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,6928.15,2057
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,1765.71,2057
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3429.99,2057
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,874.17,2057
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,5517.74,2056
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,1390.38,2056
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3455.37,2056
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,870.7,2056
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,6641.19,2056
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,1673.47,2056
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3287.92,2056
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,828.5,2056
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,5279.32,2055
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,437.92,2055
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3306.07,2055
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,274.24,2055
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,6354.22,2055
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,527.08,2055
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3145.85,2055
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,260.95,2055
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,5040.9,2054
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,395.95,2054
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3156.76,2054
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,247.95,2054
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,6067.26,2054
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,476.57,2054
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3003.78,2054
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,235.94,2054
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,4802.48,2053
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,353.98,2053
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3007.45,2053
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,221.67,2053
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,5780.29,2053
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,426.06,2053
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,2861.71,2053
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,210.93,2053
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,4564.06,2052
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,312.02,2052
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,2858.15,2052
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,195.39,2052
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,5493.33,2052
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,375.54,2052
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,2719.64,2052
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,185.92,2052
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,4325.64,2051
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,270.05,2051
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,2708.84,2051
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,169.11,2051
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,5206.36,2051
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,325.03,2051
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,2577.57,2051
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,160.92,2051
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,5254.99,2050
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,228.08,2050
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,3290.83,2050
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,142.83,2050
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,6324.94,2050
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,274.52,2050
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,3131.35,2050
