,bus,carrier,p_nom,year_removed
DE0 E solar_thermal,DE0 E,solar_thermal,3720.9,2055
DE0 2 solar_thermal,DE0 2,solar_thermal,5705.07,2054
DE0 9 solar_thermal,DE0 9,solar_thermal,3572.68,2054
DE0 A solar_thermal,DE0 A,solar_thermal,6866.66,2054
DE0 E solar_thermal,DE0 E,solar_thermal,3399.55,2054
DE0 2 solar_thermal,DE0 2,solar_thermal,5165.79,2053
DE0 9 solar_thermal,DE0 9,solar_thermal,3234.97,2053
DE0 A solar_thermal,DE0 A,solar_thermal,6217.57,2053
DE0 E solar_thermal,DE0 E,solar_thermal,3078.2,2053
DE0 2 solar_thermal,DE0 2,solar_thermal,4626.5,2052
DE0 9 solar_thermal,DE0 9,solar_thermal,2897.25,2052
DE0 A solar_thermal,DE0 A,solar_thermal,5568.49,2052
DE0 E solar_thermal,DE0 E,solar_thermal,2756.85,2052
DE0 2 solar_thermal,DE0 2,solar_thermal,4087.21,2051
DE0 9 solar_thermal,DE0 9,solar_thermal,2559.53,2051
DE0 A solar_thermal,DE0 A,solar_thermal,4919.4,2051
DE0 E solar_thermal,DE0 E,solar_thermal,2435.5,2051
DE0 2 solar_thermal,DE0 2,solar_thermal,3547.93,2050
DE0 9 solar_thermal,DE0 9,solar_thermal,2221.82,2050
DE0 A solar_thermal,DE0 A,solar_thermal,4270.31,2050
DE0 E solar_thermal,DE0 E,solar_thermal,2114.15,2050
DE0 2 solar_thermal,DE0 2,solar_thermal,3008.64,2049
DE0 9 solar_thermal,DE0 9,solar_thermal,1884.1,2049
DE0 A solar_thermal,DE0 A,solar_thermal,3621.22,2049
DE0 E solar_thermal,DE0 E,solar_thermal,1792.8,2049
DE0 2 solar_thermal,DE0 2,solar_thermal,2469.36,2048
DE0 9 solar_thermal,DE0 9,solar_thermal,1546.39,2048
DE0 A solar_thermal,DE0 A,solar_thermal,2972.14,2048
DE0 E solar_thermal,DE0 E,solar_thermal,1471.45,2048
DE0 2 solar_thermal,DE0 2,solar_thermal,1930.07,2047
DE0 9 solar_thermal,DE0 9,solar_thermal,1208.67,2047
DE0 A solar_thermal,DE0 A,solar_thermal,2323.05,2047
DE0 E solar_thermal,DE0 E,solar_thermal,1150.1,2047
DE0 2 solar_thermal,DE0 2,solar_thermal,1390.79,2046
DE0 9 solar_thermal,DE0 9,solar_thermal,870.95,2046
DE0 A solar_thermal,DE0 A,solar_thermal,1673.96,2046
DE0 E solar_thermal,DE0 E,solar_thermal,828.75,2046
DE0 2 solar_thermal,DE0 2,solar_thermal,851.5,2045
DE0 9 solar_thermal,DE0 9,solar_thermal,533.24,2045
DE0 A solar_thermal,DE0 A,solar_thermal,1024.87,2045
DE0 E solar_thermal,DE0 E,solar_thermal,507.39,2045
