,carrier,p_nom,bus
DE0 2 biomass,biomass,6386.18,DE0 2
DE0 9 biomass,biomass,3999.3,DE0 9
DE0 A biomass,biomass,7686.63,DE0 A
DE0 E biomass,biomass,3805.48,DE0 E
