,carrier,p_nom,bus
DE0 2 oil,oil,12133.74,DE0 2
DE0 9 oil,oil,7598.610000000001,DE0 9
DE0 A oil,oil,14604.720000000001,DE0 A
DE0 E oil,oil,7230.339999999999,DE0 E
